Time,KeyPressed
2025-09-23 22:47:28.454522,A
2025-09-23 22:47:28.954118,N
2025-09-23 22:47:30.698559,Z
2025-09-23 22:47:32.146132,Ctrl+S
2025-09-23 22:47:32.363436,I
2025-09-23 22:47:33.523693,I
2025-09-23 22:47:35.107242,9
2025-09-23 22:47:35.954604,A
2025-09-23 22:47:36.811424,Ctrl+X
2025-09-23 22:47:37.216109,y
2025-09-23 22:47:37.952027,9
2025-09-23 22:47:38.749543,9
2025-09-23 22:47:39.736517,u
2025-09-23 22:47:41.353848, 
2025-09-23 22:47:42.396280,m
2025-09-23 22:47:43.067206,a
2025-09-23 22:47:44.699314,Ctrl+S
2025-09-23 22:47:44.982655,W
2025-09-23 22:47:46.287466, 
2025-09-23 22:47:47.919026,E
2025-09-23 22:47:48.371515,B
2025-09-23 22:47:48.965663,y
2025-09-23 22:47:50.191150,i
2025-09-23 22:47:50.468914,a
2025-09-23 22:47:51.552705,4
2025-09-23 22:47:52.588502,u
2025-09-23 22:47:53.415182,Y
2025-09-23 22:47:53.740878,h
2025-09-23 22:47:55.515530,Ctrl+C
2025-09-23 22:47:57.190621,Ctrl+X
2025-09-23 22:47:57.921130,w
2025-09-23 22:47:59.793417,D
2025-09-23 22:48:01.694497,H
2025-09-23 22:48:02.086989, 
2025-09-23 22:48:02.824746,6
2025-09-23 22:48:04.313690,w
2025-09-23 22:48:04.903858,A
2025-09-23 22:48:05.267717,","
2025-09-23 22:48:06.559442,0
2025-09-23 22:48:07.243002,Ctrl+V
2025-09-23 22:48:08.871565,B
2025-09-23 22:48:09.911828,r
2025-09-23 22:48:10.358713,9
2025-09-23 22:48:10.849198,n
2025-09-23 22:48:11.863977,E
2025-09-23 22:48:13.565547,Y
2025-09-23 22:48:14.572615,7
2025-09-23 22:48:16.562636,P
2025-09-23 22:48:17.333050,G
2025-09-23 22:48:17.755665, 
2025-09-23 22:48:19.697445,H
2025-09-23 22:48:21.045257,6
2025-09-23 22:48:21.371265,Y
2025-09-23 22:48:21.673799,I
2025-09-23 22:48:23.181592,9
2025-09-23 22:48:24.184765,E
2025-09-23 22:48:24.491346,i
2025-09-23 22:48:26.066419,8
2025-09-23 22:48:27.214172,s
2025-09-23 22:48:29.018219,c
2025-09-23 22:48:30.802777,P
2025-09-23 22:48:31.702599,t
2025-09-23 22:48:33.337591,P
2025-09-23 22:48:34.644399,t
2025-09-23 22:48:36.536465,y
2025-09-23 22:48:38.441059,u
2025-09-23 22:48:40.127686, 
2025-09-23 22:48:41.757459,o
2025-09-23 22:48:42.501287,E
2025-09-23 22:48:43.840015,l
2025-09-23 22:48:44.221338,i
2025-09-23 22:48:45.908437,z
2025-09-23 22:48:46.349442,C
2025-09-23 22:48:47.661290,g
2025-09-23 22:48:48.458465,Ctrl+B
2025-09-23 22:48:49.741994,F
2025-09-23 22:48:51.486259,d
2025-09-23 22:48:53.057164,W
2025-09-23 22:48:53.923980,7
2025-09-23 22:48:54.576885,N
2025-09-23 22:48:55.379969,v
2025-09-23 22:48:57.261445,v
2025-09-23 22:48:57.882425,I
2025-09-23 22:48:58.280423,O
2025-09-23 22:48:58.553745,s
2025-09-23 22:48:59.198612,4
2025-09-23 22:49:00.598427,Ctrl+S
2025-09-23 22:49:02.175256,1
2025-09-23 22:49:02.715167,w
2025-09-23 22:49:04.150763,2
2025-09-23 22:49:05.451484,Ctrl+C
2025-09-23 22:49:07.400995,Ctrl+U
2025-09-23 22:49:07.755164,M
2025-09-23 22:49:09.290646,W
2025-09-23 22:49:11.232626,G
2025-09-23 22:49:12.622036,Ctrl+Z
2025-09-23 22:49:13.954244,0
2025-09-23 22:49:15.345644,U
2025-09-23 22:49:15.936358, 
2025-09-23 22:49:17.153770,Ctrl+X
2025-09-23 22:49:18.358748,l
2025-09-23 22:49:19.209162,Z
2025-09-23 22:49:20.946332,L
2025-09-23 22:49:21.744851,G
2025-09-23 22:49:23.600414,Y
2025-09-23 22:49:24.780749,.
2025-09-23 22:49:25.496428,d
2025-09-23 22:49:26.653425,p
2025-09-23 22:49:28.133730,Ctrl+X
2025-09-23 22:49:29.201923,u
2025-09-23 22:49:30.046589,d
2025-09-23 22:49:31.720577,U
2025-09-23 22:49:32.440740,H
2025-09-23 22:49:34.332268,o
2025-09-23 22:49:34.610905,t
2025-09-23 22:49:36.560490,p
2025-09-23 22:49:37.480432,e
2025-09-23 22:49:38.030712,b
2025-09-23 22:49:38.422211,W
2025-09-23 22:49:39.309592,J
2025-09-23 22:49:40.439913,A
2025-09-23 22:49:41.753945,a
2025-09-23 22:49:43.063225,Ctrl+S
2025-09-23 22:49:43.848182,7
2025-09-23 22:49:45.399451,O
2025-09-23 22:49:45.712512,E
2025-09-23 22:49:47.387874,I
2025-09-23 22:49:48.955057,g
2025-09-23 22:49:50.378685,?
2025-09-23 22:49:51.525730,R
2025-09-23 22:49:52.197084,n
2025-09-23 22:49:53.254134,F
2025-09-23 22:49:54.355372,7
2025-09-23 22:49:55.783392,m
2025-09-23 22:49:57.562415,4
2025-09-23 22:49:57.998158,f
2025-09-23 22:49:59.852158,T
2025-09-23 22:50:01.375266,?
2025-09-23 22:50:02.549189,T
2025-09-23 22:50:02.882916,?
2025-09-23 22:50:04.186522,e
2025-09-23 22:50:04.626070,x
2025-09-23 22:50:05.839771,8
2025-09-23 22:50:07.039158,f
2025-09-23 22:50:07.400697,z
2025-09-23 22:50:08.824819,Ctrl+X
2025-09-23 22:50:09.159340,V
2025-09-23 22:50:10.599383,8
2025-09-23 22:50:11.530266,O
2025-09-23 22:50:11.831217,6
2025-09-23 22:50:13.015119,","
2025-09-23 22:50:14.092724,t
2025-09-23 22:50:14.667445,e
2025-09-23 22:50:16.024705,o
2025-09-23 22:50:17.157146,j
2025-09-23 22:50:18.073104,J
2025-09-23 22:50:18.845016,t
2025-09-23 22:50:20.658048,g
2025-09-23 22:50:21.941763,D
2025-09-23 22:50:22.536714,j
2025-09-23 22:50:23.426038,f
2025-09-23 22:50:24.183273,5
2025-09-23 22:50:24.452961,P
2025-09-23 22:50:25.673067,1
2025-09-23 22:50:26.846856,t
2025-09-23 22:50:28.050163,5
2025-09-23 22:50:28.300976,I
2025-09-23 22:50:29.351411,H
2025-09-23 22:50:31.250623,G
2025-09-23 22:50:33.156851,j
2025-09-23 22:50:33.493826,6
2025-09-23 22:50:35.215718,m
2025-09-23 22:50:36.086037,8
2025-09-23 22:50:37.476050,m
2025-09-23 22:50:39.058497,k
2025-09-23 22:50:40.497563,1
2025-09-23 22:50:40.758708,y
2025-09-23 22:50:42.157172,?
2025-09-23 22:50:43.296656,Ctrl+B
2025-09-23 22:50:43.603911,l
2025-09-23 22:50:45.387345,m
2025-09-23 22:50:47.042365,O
2025-09-23 22:50:48.607707,7
2025-09-23 22:50:50.317604,B
2025-09-23 22:50:52.306784,I
2025-09-23 22:50:54.209927,n
2025-09-23 22:50:55.724644,V
2025-09-23 22:50:56.866534,D
2025-09-23 22:50:57.266784,X
2025-09-23 22:50:59.158452,X
2025-09-23 22:51:00.640324,9
2025-09-23 22:51:02.009899,A
2025-09-23 22:51:03.131466,X
2025-09-23 22:51:04.714362,V
2025-09-23 22:51:05.408453,1
2025-09-23 22:51:06.150104,q
2025-09-23 22:51:07.257487,9
2025-09-23 22:51:09.154884,P
2025-09-23 22:51:10.013318,R
2025-09-23 22:51:11.521796,o
2025-09-23 22:51:11.904518,7
2025-09-23 22:51:12.332677,W
2025-09-23 22:51:12.773998,I
2025-09-23 22:51:13.157802,e
2025-09-23 22:51:14.242592,","
2025-09-23 22:51:14.707864,q
2025-09-23 22:51:16.497769,q
2025-09-23 22:51:18.107754,I
2025-09-23 22:51:19.538547,t
2025-09-23 22:51:19.767682,G
2025-09-23 22:51:20.212983,f
2025-09-23 22:51:20.642816,k
2025-09-23 22:51:22.612478,k
2025-09-23 22:51:24.556204,B
2025-09-23 22:51:26.498803,2
2025-09-23 22:51:28.211042,T
2025-09-23 22:51:29.937522,r
2025-09-23 22:51:31.136650,J
2025-09-23 22:51:32.200260,y
2025-09-23 22:51:33.148971,k
2025-09-23 22:51:34.986580,?
2025-09-23 22:51:36.281945,Z
2025-09-23 22:51:37.366606,F
2025-09-23 22:51:38.890374,Z
2025-09-23 22:51:39.204867,i
2025-09-23 22:51:39.429617,6
2025-09-23 22:51:40.650000,x
2025-09-23 22:51:41.030654,Ctrl+S
2025-09-23 22:51:41.346242,Ctrl+U
2025-09-23 22:51:42.608329,t
2025-09-23 22:51:44.032053,d
2025-09-23 22:51:46.009005,i
2025-09-23 22:51:46.682998,V
2025-09-23 22:51:47.058929,E
2025-09-23 22:51:48.790071,I
2025-09-23 22:51:49.199277,c
2025-09-23 22:51:50.488105,X
2025-09-23 22:51:51.168643,r
2025-09-23 22:51:52.919502,b
2025-09-23 22:51:54.572953,w
2025-09-23 22:51:55.334306,e
2025-09-23 22:51:56.967736,F
2025-09-23 22:51:57.814261,2
2025-09-23 22:51:58.412319,C
2025-09-23 22:52:00.385201,q
2025-09-23 22:52:01.918692,J
2025-09-23 22:52:03.551795,Z
2025-09-23 22:52:04.719067,E
2025-09-23 22:52:05.070754,0
2025-09-23 22:52:06.374565,Ctrl+B
2025-09-23 22:52:07.357773,8
2025-09-23 22:52:07.933304,1
2025-09-23 22:52:08.764273,c
2025-09-23 22:52:10.002689,R
2025-09-23 22:52:10.352406,p
2025-09-23 22:52:11.887436,.
2025-09-23 22:52:13.702167,3
2025-09-23 22:52:14.792567,.
2025-09-23 22:52:15.132200,c
2025-09-23 22:52:15.353211,G
2025-09-23 22:52:16.195535,A
2025-09-23 22:52:16.698828,7
2025-09-23 22:52:17.738864,W
2025-09-23 22:52:18.030996,j
2025-09-23 22:52:19.697215,S
2025-09-23 22:52:20.859424,e
2025-09-23 22:52:21.210364,Z
2025-09-23 22:52:21.821850,H
2025-09-23 22:52:22.076739,e
2025-09-23 22:52:23.882931,z
2025-09-23 22:52:25.196811,G
2025-09-23 22:52:25.525751,7
2025-09-23 22:52:26.835614,C
2025-09-23 22:52:27.957777,","
2025-09-23 22:52:28.857246,P
2025-09-23 22:52:30.764448,m
2025-09-23 22:52:31.263918,R
2025-09-23 22:52:32.288091,r
2025-09-23 22:52:33.076442,n
2025-09-23 22:52:33.916537,c
2025-09-23 22:52:35.589287,v
2025-09-23 22:52:36.878056,t
2025-09-23 22:52:37.267238,Ctrl+C
2025-09-23 22:52:37.790124,3
2025-09-23 22:52:38.408809,f
2025-09-23 22:52:39.865267,6
2025-09-23 22:52:40.697810,W
2025-09-23 22:52:42.217393,Ctrl+U
2025-09-23 22:52:42.871371,Ctrl+Shift+T
2025-09-23 22:52:43.190220,t
2025-09-23 22:52:44.052659,Z
2025-09-23 22:52:45.752145,E
2025-09-23 22:52:46.705945,Ctrl+B
2025-09-23 22:52:47.174908,h
2025-09-23 22:52:47.713602,p
2025-09-23 22:52:49.172322,O
2025-09-23 22:52:50.180018,9
2025-09-23 22:52:50.616291,q
2025-09-23 22:52:50.972057,u
2025-09-23 22:52:51.290074,v
2025-09-23 22:52:52.811957,Ctrl+Shift+T
2025-09-23 22:52:54.583542,p
2025-09-23 22:52:55.726670,h
2025-09-23 22:52:57.446815,Y
2025-09-23 22:52:59.221726,k
2025-09-23 22:53:01.175576,q
2025-09-23 22:53:01.742636,Y
2025-09-23 22:53:03.528301,Ctrl+B
2025-09-23 22:53:03.980510,F
2025-09-23 22:53:05.185841,R
2025-09-23 22:53:06.992109,d
2025-09-23 22:53:08.216042,s
2025-09-23 22:53:09.042616,Z
2025-09-23 22:53:10.476697,A
2025-09-23 22:53:11.331009,1
2025-09-23 22:53:12.885890,q
2025-09-23 22:53:14.422055,u
2025-09-23 22:53:15.698740, 
2025-09-23 22:53:17.574963,W
2025-09-23 22:53:18.681177,Ctrl+V
2025-09-23 22:53:19.695878,h
2025-09-23 22:53:20.194475,B
2025-09-23 22:53:22.177447,z
2025-09-23 22:53:22.931738,s
2025-09-23 22:53:24.470647,1
2025-09-23 22:53:26.460471,l
2025-09-23 22:53:27.449942,r
2025-09-23 22:53:28.967094,M
2025-09-23 22:53:30.285160,7
2025-09-23 22:53:30.699436,4
2025-09-23 22:53:31.682991,g
2025-09-23 22:53:33.045393,f
2025-09-23 22:53:33.738788,u
2025-09-23 22:53:33.951407,c
2025-09-23 22:53:34.287683,L
2025-09-23 22:53:35.828366,b
2025-09-23 22:53:36.990595,3
2025-09-23 22:53:37.783845,D
2025-09-23 22:53:38.816159,5
2025-09-23 22:53:39.699876,D
2025-09-23 22:53:40.184756,Ctrl+C
2025-09-23 22:53:40.537315,d
2025-09-23 22:53:42.522868,4
2025-09-23 22:53:42.813148,L
2025-09-23 22:53:43.691630,U
2025-09-23 22:53:44.574074,u
2025-09-23 22:53:45.522795,f
2025-09-23 22:53:46.065762,G
2025-09-23 22:53:47.537349,X
2025-09-23 22:53:48.719958,F
2025-09-23 22:53:49.281015,7
2025-09-23 22:53:50.374282,A
2025-09-23 22:53:51.845292,1
2025-09-23 22:53:52.840198,k
2025-09-23 22:53:54.777615,.
2025-09-23 22:53:55.167285,t
2025-09-23 22:53:57.122371,3
2025-09-23 22:53:57.514868, 
2025-09-23 22:53:58.073010,Ctrl+U
2025-09-23 22:53:59.023958,1
2025-09-23 22:54:00.988494,2
2025-09-23 22:54:02.637030,G
2025-09-23 22:54:04.320357,N
2025-09-23 22:54:05.669425,V
2025-09-23 22:54:06.893778, 
2025-09-23 22:54:08.032996,j
2025-09-23 22:54:08.692378,8
2025-09-23 22:54:09.596051,y
2025-09-23 22:54:11.520380,B
2025-09-23 22:54:12.446320,a
2025-09-23 22:54:13.203257,e
2025-09-23 22:54:14.225733,Y
2025-09-23 22:54:15.335232,Ctrl+S
2025-09-23 22:54:16.231474,?
2025-09-23 22:54:17.525778,Ctrl+V
2025-09-23 22:54:18.889881,M
2025-09-23 22:54:19.239848,Y
2025-09-23 22:54:20.463067, 
2025-09-23 22:54:20.847175,4
2025-09-23 22:54:21.797332,e
2025-09-23 22:54:22.056699,Q
2025-09-23 22:54:23.338121,N
2025-09-23 22:54:24.393185,A
2025-09-23 22:54:25.895093,W
2025-09-23 22:54:27.491934,5
2025-09-23 22:54:29.445172,?
2025-09-23 22:54:29.909972,w
2025-09-23 22:54:30.473378,2
2025-09-23 22:54:31.514756,z
2025-09-23 22:54:31.860426,E
2025-09-23 22:54:32.552394,m
2025-09-23 22:54:33.884370,V
2025-09-23 22:54:35.709410,D
2025-09-23 22:54:37.696753,c
2025-09-23 22:54:38.489039,a
2025-09-23 22:54:39.408054,X
2025-09-23 22:54:40.135663,j
2025-09-23 22:54:40.694489,3
2025-09-23 22:54:42.493200, 
2025-09-23 22:54:43.823437,Ctrl+B
2025-09-23 22:54:45.275462,I
2025-09-23 22:54:46.876971,s
2025-09-23 22:54:47.114242,","
2025-09-23 22:54:48.341047,r
2025-09-23 22:54:49.245787,Ctrl+B
2025-09-23 22:54:50.599586,j
2025-09-23 22:54:52.271130,u
2025-09-23 22:54:54.122584,C
2025-09-23 22:54:55.667397,Z
2025-09-23 22:54:56.840687,E
2025-09-23 22:54:57.662924,?
2025-09-23 22:54:58.989879,Ctrl+U
2025-09-23 22:55:00.331264,Ctrl+S
2025-09-23 22:55:01.645379,C
2025-09-23 22:55:02.935780,y
2025-09-23 22:55:04.387530,1
2025-09-23 22:55:05.493372,H
2025-09-23 22:55:06.401365,w
2025-09-23 22:55:07.122929,I
2025-09-23 22:55:07.592279,Q
2025-09-23 22:55:08.003449,5
2025-09-23 22:55:09.606322,D
2025-09-23 22:55:11.308155,B
2025-09-23 22:55:11.681632,Ctrl+Shift+T
2025-09-23 22:55:12.185689,c
2025-09-23 22:55:13.589161,W
2025-09-23 22:55:13.936160,w
2025-09-23 22:55:14.534377,Ctrl+B
2025-09-23 22:55:15.521105,9
2025-09-23 22:55:16.973527,m
2025-09-23 22:55:18.035231,.
2025-09-23 22:55:19.302970,2
2025-09-23 22:55:19.829362,8
2025-09-23 22:55:21.772314,Y
2025-09-23 22:55:22.027395,s
2025-09-23 22:55:22.916838,g
2025-09-23 22:55:24.482838,D
2025-09-23 22:55:26.343658,Ctrl+Shift+T
2025-09-23 22:55:27.693078,8
2025-09-23 22:55:29.621167,Y
2025-09-23 22:55:30.522500,b
2025-09-23 22:55:31.097578,h
2025-09-23 22:55:32.970307,K
2025-09-23 22:55:34.934074,Ctrl+Z
2025-09-23 22:55:36.889704,c
2025-09-23 22:55:38.433357,.
2025-09-23 22:55:38.767185,Q
2025-09-23 22:55:39.128302,2
2025-09-23 22:55:40.640418,Ctrl+S
2025-09-23 22:55:41.944424,z
2025-09-23 22:55:43.663124,q
2025-09-23 22:55:44.916572,h
2025-09-23 22:55:45.774511,s
2025-09-23 22:55:47.679170,F
2025-09-23 22:55:48.336235,A
2025-09-23 22:55:50.028448,M
2025-09-23 22:55:50.621291,8
2025-09-23 22:55:50.898168,l
2025-09-23 22:55:52.734101,?
2025-09-23 22:55:53.311802,X
2025-09-23 22:55:53.595977,f
2025-09-23 22:55:53.966248,z
2025-09-23 22:55:55.077219,N
2025-09-23 22:55:55.832174,Ctrl+U
2025-09-23 22:55:56.373823,J
2025-09-23 22:55:57.844549,u
2025-09-23 22:55:59.407766,a
2025-09-23 22:56:00.318719,h
2025-09-23 22:56:01.115905,A
2025-09-23 22:56:02.147451,6
2025-09-23 22:56:03.223345,3
2025-09-23 22:56:04.227610,4
2025-09-23 22:56:05.384014,s
2025-09-23 22:56:06.801857,J
2025-09-23 22:56:07.147602,S
2025-09-23 22:56:08.407908,V
2025-09-23 22:56:09.758132,k
2025-09-23 22:56:10.022606,t
2025-09-23 22:56:11.429570,w
2025-09-23 22:56:12.128520,s
2025-09-23 22:56:13.862266,Ctrl+Z
2025-09-23 22:56:15.796082,4
2025-09-23 22:56:16.022333,m
2025-09-23 22:56:16.654064,4
2025-09-23 22:56:16.858291,O
2025-09-23 22:56:18.310008,l
2025-09-23 22:56:18.555574,L
2025-09-23 22:56:19.300218,m
2025-09-23 22:56:20.832517,K
2025-09-23 22:56:21.153687,E
2025-09-23 22:56:22.837153,5
2025-09-23 22:56:23.820037,c
2025-09-23 22:56:24.849592,P
2025-09-23 22:56:25.856357,I
2025-09-23 22:56:27.254377,i
2025-09-23 22:56:28.488313,J
2025-09-23 22:56:29.661312,8
2025-09-23 22:56:31.138323,k
2025-09-23 22:56:31.648860,C
2025-09-23 22:56:33.404635,","
2025-09-23 22:56:35.201590,G
2025-09-23 22:56:35.758768,Q
2025-09-23 22:56:37.746504,L
2025-09-23 22:56:38.818552,U
2025-09-23 22:56:40.407597,g
2025-09-23 22:56:41.980296,m
2025-09-23 22:56:43.525076,g
2025-09-23 22:56:45.044246,H
2025-09-23 22:56:46.659578,z
2025-09-23 22:56:47.789232,7
2025-09-23 22:56:49.755490,N
2025-09-23 22:56:50.001634,N
2025-09-23 22:56:51.291189,s
2025-09-23 22:56:52.136739,5
2025-09-23 22:56:52.837832,T
2025-09-23 22:56:53.911108,o
2025-09-23 22:56:55.865537,Ctrl+B
2025-09-23 22:56:56.434688,8
2025-09-23 22:56:57.455378,5
2025-09-23 22:56:58.388556,H
2025-09-23 22:56:59.510291,1
2025-09-23 22:57:00.761687,Z
2025-09-23 22:57:02.039192,Ctrl+S
2025-09-23 22:57:02.845333,Z
2025-09-23 22:57:03.057384,x
2025-09-23 22:57:05.036701,N
2025-09-23 22:57:05.376781,g
2025-09-23 22:57:06.703981,W
2025-09-23 22:57:08.635641,F
2025-09-23 22:57:09.470085,X
2025-09-23 22:57:10.452496,d
2025-09-23 22:57:11.148448,9
2025-09-23 22:57:12.491100,s
2025-09-23 22:57:13.389775,W
2025-09-23 22:57:14.929540,Y
2025-09-23 22:57:16.716595,U
2025-09-23 22:57:17.944552,z
2025-09-23 22:57:19.158560,t
2025-09-23 22:57:21.105684,R
2025-09-23 22:57:22.678839,u
2025-09-23 22:57:24.455772,l
2025-09-23 22:57:26.449169,Z
2025-09-23 22:57:27.808386,Z
2025-09-23 22:57:29.698230,n
2025-09-23 22:57:30.779658,M
2025-09-23 22:57:31.514257,O
2025-09-23 22:57:33.473392,9
2025-09-23 22:57:33.686923,J
2025-09-23 22:57:35.050053,8
2025-09-23 22:57:36.262156,9
2025-09-23 22:57:37.878965,7
2025-09-23 22:57:38.242809,V
2025-09-23 22:57:39.974438,6
2025-09-23 22:57:40.677826,k
2025-09-23 22:57:41.567049,Ctrl+X
2025-09-23 22:57:41.870345,R
2025-09-23 22:57:42.587523,B
2025-09-23 22:57:44.333501,X
2025-09-23 22:57:44.797836,x
2025-09-23 22:57:46.489772,V
2025-09-23 22:57:46.952223,p
2025-09-23 22:57:47.347287,Ctrl+B
2025-09-23 22:57:47.853501,Ctrl+U
2025-09-23 22:57:49.102701,p
2025-09-23 22:57:50.252874,g
2025-09-23 22:57:51.293864,a
2025-09-23 22:57:52.498122,r
2025-09-23 22:57:54.035752,9
2025-09-23 22:57:55.735874,4
2025-09-23 22:57:56.405775,L
2025-09-23 22:57:56.885543,e
2025-09-23 22:57:57.241220,Ctrl+U
2025-09-23 22:57:58.819072,G
2025-09-23 22:57:59.238288,3
2025-09-23 22:58:01.214790,Ctrl+C
2025-09-23 22:58:01.929549,q
2025-09-23 22:58:02.676281,J
2025-09-23 22:58:03.330162, 
2025-09-23 22:58:04.656991,Ctrl+U
2025-09-23 22:58:05.831569,W
2025-09-23 22:58:06.505932,C
2025-09-23 22:58:06.842407,Z
2025-09-23 22:58:08.001480,j
2025-09-23 22:58:08.764012,w
2025-09-23 22:58:10.330440,l
2025-09-23 22:58:11.949134,Ctrl+X
2025-09-23 22:58:12.556689,Ctrl+C
2025-09-23 22:58:14.244258,Q
2025-09-23 22:58:14.763501,X
2025-09-23 22:58:16.285861,O
2025-09-23 22:58:18.081187,P
2025-09-23 22:58:18.461760,E
2025-09-23 22:58:20.191203,0
2025-09-23 22:58:21.014196,Y
2025-09-23 22:58:22.956792,w
2025-09-23 22:58:23.773612,3
